TitleOfSecurity,TransactionDate,TransactionCode,Amount,SecuritiesAcquirednDisposed,AmountOfSecurityOwned,OwnershipForm
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",129,A,"21,997",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",128,A,"38,264",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"39,294",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",28,A,"3,611",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"39,294",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",5.737,A,"145,623.48",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",942,A,"221,846",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",96,A,"56,841",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",113,A,"33,889",D
Common Stock,12/17/2019,"
,F,(1),
",255,D,"22,983",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",169,A,"88,575.24",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"39,294",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",74,A,"49,909",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",79,A,"15,699",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"44,234",D
Common Stock,12/17/2019,S,"5,000",D,"40,421",D
Common Stock,12/16/2019,"
,S,(1),
","2,598",D,"77,240",D
Class A common stock,12/18/2019,P,"1,369,863",A,"30,356,212",I
Common Stock,12/16/2019,"
,S,(1),
","1,000",D,595,D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",87,A,"35,070",D
Common Stock,12/17/2019,"
,S,(1),
","1,774",D,"
,113,850,(3),
",D
Common Stock,12/17/2019,"
,S,(1),
",349,D,"
,92,966,(2),
",D
Commom Stock,12/17/2019,"
,S,(1),
","5,519",D,"254,118",D
Common Stock,12/16/2019,S,887,D,"297,862",I
Class A Common Stock,12/16/2019,"
,C,(1),(2),
","445,700",A,"445,700",I
Class A Common Stock,12/16/2019,"
,C,(1),
","445,700",A,"445,700",I
Common Stock,12/16/2019,"
,M,(1),
","3,566",A,"34,027",D
"
,Ordinary Shares,(1),(2),
",12/16/2019,M,"100,000",A,"184,547",D
Common Stock,11/8/2019,"
,F,(1),
","2,343",D,"110,538",D
Common Stock,12/16/2019,"
,M,(1),
","5,000",A,"6,250",D
Class A Common Stock,12/16/2019,"
,S,(1),
","9,968",D,"9,968",I
"Common Stock, $.01 Par Value",12/17/2019,P,"46,000",A,"599,091",D
Restricted Stock Unit,-1,,,51,"
,
                
            ,(2),
","
,
                
            ,(3),
"
Restricted Stock Unit,-1,,,9,"
,
                
            ,(2),
","
,
                
            ,(3),
"
Common Stock,12/16/2019,A,"
,6,950,(1),
",A,"6,950",D
"
,Class B Common Stock,(1),
",12/16/2019,C,"802,324",D,"
,2,683,371,(3),
",I
Common Units of limited liability company interests,12/16/2019,P,20,A,"
,90.47,(1),
",D
Common Stock,12/11/2019,D,"
,535,983,(1),
",D,"38,809,168",I
Common Units of limited liability company interests,12/16/2019,P,25,A,"
,113.09,(1),
",D
Common Stock,12/11/2019,D,"
,535,983,(1),
",D,"38,809,168",I
"
,Class B Common Stock,(1),
",12/16/2019,C,"802,324",D,"2,683,371",D
"
,Common Stock,(1),
",12/16/2019,A,"
,100,(2),
",A,"8,262",D
Common Stock,12/17/2019,"
,S,(1),
","10,000",D,"3,797,822",D
Restricted Stock Units,-2,,,"7,364","
,
                
            ,(5),
","
,
                
            ,(5),
"
Common Stock,11/13/2019,S,"325,000",A,"
,10,325,000,(1),
",D
Common Stock,12/16/2019,M,"12,762","
,A,(1),
","39,758",D
"
,Class B Common Stock,(1),
",12/16/2019,C,"643,931",D,"
,2,153,623,(3),
",I
"
,Class B Common Stock,(1),
",12/16/2019,C,"643,931",D,"2,153,623",D
"
,Common Stock,(1),
",12/16/2019,A,"
,10,000,(2),
",A,"35,000",D
Common Stock,12/16/2019,A,"
,31,900,(1),
",A,"31,900",D
Class A Common Stock,12/16/2019,"
,F,(1),
","17,120",D,"
,75,138,(2),
",D
Common Stock,12/17/2019,"
,A,(1),
","162,338",A,"162,338",D
Common Stock,12/17/2019,A,"
,1,230,(1),(2),
",A,"1,230",D
Common Stock,12/16/2019,S,"5,000",D,"39,575",D
Common Stock,,,,,"100,328.99",D
Class A Common Stock,12/16/2019,"
,S,(1),
","1,433",D,"
,152,932,(3),
",D
Common Stock,12/16/2019,M,"5,505",A,"
,41,114,(1),
",D
Class A Common Stock,12/16/2019,"
,S,(1),
","3,287",D,"
,155,355,(3),
",D
Common Stock,12/16/2019,F,"
,8,227,(1),
",D,"153,663",D
Common Stock,12/16/2019,F,54,D,"2,865.39",D
Common Stock,12/9/2019,P,"5,729",A,"1,819,886",D
Class A Common Stock,12/16/2019,"
,S,(1),
","
,24,865,(1),
",D,"141,857",D
Class A Common Stock,12/16/2019,F,"
,1,086,(1),
",D,"122,129",D
Common Stock,12/16/2019,M,"30,750",A,"101,995",D
Restricted Stock Units,-1,,,"
,118,(2),
","
,
                
            ,(3),
","
,
                
            ,(3),
"
Common Stock,12/17/2019,S,"4,243",D,"53,564",D
Common Stock,12/16/2019,M,"13,804",A,"28,027",D
Class A Common Stock,12/16/2019,A,"5,000",A,"25,000",D
Common Stock,11/27/2019,G,650,D,"
,81,604,(1),
",D
Class A common stock,12/16/2019,"
,C,(1),
","100,000",A,"100,000",D
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
Common Units of limited liability company interests,12/16/2019,P,25,A,"
,113.09,(1),
",D
Common Stock,12/16/2019,M,"3,033",A,"920,378",D
Class A Common Stock,12/16/2019,"
,S,(1),
","
,12,109,(1),
",D,"32,780",D
Common Stock,,,,,"
,44,855.2015,(1),
",D
Common Stock,12/16/2019,M,"30,000",A,"351,208",D
Common Stock,12/16/2019,A,81,A,"2,921",D
Class A Common Stock,12/16/2019,M,"2,500",A,"12,500",D
Common Stock,12/17/2019,S,"36,000",D,"1,139,358",I
Class A Common Stock,12/11/2019,G,100,D,"101,285",D
Common Stock,12/16/2019,A,"
,1,684.9288,(1),
",A,"
,3,506.9132,(2),
",I
"UMH Properties, Inc.",12/17/2019,G,"
,11,464.98,(1),
",D,"24,048.05",D
Class A Common Stock,12/16/2019,A,"5,000",A,"5,000",D
Common Stock,12/16/2019,S,"
,11,730,(1),
",D,"399,531",D
Common Stock,12/16/2019,P,"10,000",A,"17,467,816",D
Common Stock,,,,,"1,210,873",D
Common Stock,12/16/2019,M,"1,487",A,"6,489",D
Common Units Representing Limited Partnership Interests,12/16/2019,P,"44,250",A,"4,295,218",I
"Class A Common Stock, par value $0.01 per share",12/16/2019,G,"
,4,000,(1),
",D,"352,560",D
"
,Common Stock,(1),
",12/16/2019,A,"
,177,(2),
",A,"14,531",D
Common Stock,12/16/2019,A,"30,760",A,"801,806",D
Common Stock,12/16/2019,S,"2,433",D,"1,027,901",D
Class A Common Stock,12/16/2019,M,"141,000",A,"564,423.95",D
"
,Common Stock,(1),
",12/16/2019,A,"
,80,(2),
",A,"6,540",D
Common Stock,12/16/2019,M,"98,080","
,A,(1),
","113,930",D
Common Stock,12/16/2019,"
,S,(1),
","50,000",D,"1,124,999",I
