AmountDer,AmountOfSecurityOwnedDer,CIKDer,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
"1,160,148","1,161,048",1551139,,,I,0,"1,160,148",,Common Stock,Pre-funded Warrants,A,12/20/2019
"1,160,148","9,765,333",1551139,,,I,0,"9,765,333",,Common Stock,Pre-funded Warrants,A,12/20/2019
"3,364",0,1090872,40.8,11/18/2024,D,0,,"3,364",Common Stock,Employee Stock Option (Right to Buy),M,12/20/2019
"12,000","12,000",1262325,52.13,12/18/2029,I,0,"12,000",,Common Shares,Employee Stock Option (Right to Buy),A,12/18/2019
"30,000","37,560",1025092,84.89,11/09/2022,D,0.00,,"30,000",Common Stock,Employee Stock Option (right to buy),M,12/20/2019
"50,000","55,000",1391135,,,D,0,"50,000",,Common Stock,warrants,A,09/23/2019
"17,829",0,1388658,4.12,09/27/2022,D,0,,"17,829",Common Stock,Employee Stock Option (right to buy),M,12/18/2019
"6,235",0,1388658,3.65,06/13/2023,D,0,,"6,235",Common Stock,Employee Stock Option (right to buy),M,12/18/2019
"11,587",0,1388658,4,07/10/2024,D,0,,"11,587",Common Stock,Employee Stock Option (right to buy),M,12/18/2019
"12,903",0,1388658,5.82,02/10/2025,D,0,,"12,903",Common Stock,Employee Stock Option (right to buy),M,12/18/2019
"3,719",0,1388658,7.47,07/21/2025,D,0,,"3,719",Common Stock,Employee Stock Option (right to buy),M,12/18/2019
3,"81,592",1388658,17,10/19/2026,D,0,,3,Common Stock,Employee Stock Option (right to buy),M,12/18/2019
"30,000","30,000",1422227,6.34,12/18/2029,D,0,"30,000",,Ordinary Shares,Stock Option (right to buy),A,12/18/2019
"7,339","92,661",1590560,7.53,09/29/2026,D,0,"7,339",,Ordinary Shares,Stock Option (Right to Buy),M,12/18/2019
"90,000","90,000",1391135,,,D,0,"90,000",,Common Stock,warrants,A,09/23/2019
"65,000","25,000",1391135,0.01,,D,0,,"65,000",Common Stock,warrants,D,09/23/2019
"1,000","50,000",1463172,27.34,05/16/2027,D,0,,"1,000",Common Stock,Stock Option (Right to Buy),M,12/19/2019
"380,325","380,325",1745347,7.86,07/28/2029,D,,"380,325",,Common Stock,Stock Option (right to buy),A,12/18/2019
"8,625","8,625",1136869,,,D,0,,"8,625",Common Stock,Restricted Stock Units,M,12/19/2019
0,"18,000",1758042,,12/24/2028,D,,,,Common Stock,Common Stock,,
306.9111,613.8222,1701764,,,D,0.00,,306.9111,Common Stock,Restricted Stock Units,M,12/18/2019
"6,734","6,734",1566345,,,D,,,,Common Stock,Restricted Stock Units,,
"1,754","1,754",1701764,,,D,,,,Common Stock,Restricted Stock Units,,
"1,086.7113","1,086.7113",1701764,,,D,,,,Common Stock,Restricted Stock Units,,
"3,243","3,243",1701764,18.48,11/19/2020,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"2,813","2,813",1701764,30.97,11/20/2021,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"3,913","3,913",1701764,21.52,11/12/2022,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"2,634","2,634",1566345,,,D,,,,Common Stock,Restricted Stock Units,,
"4,080","4,080",1566345,,,D,,,,Common Stock,Restricted Stock Units,,
"8,100","8,100",1566345,,,D,0,"8,100",,Common Stock,Restricted Stock Units,A,12/19/2019
"187,500","187,500",1566345,14.74,01/05/2028,D,,,,Common Stock,Employee Stock Option (right to buy),,
"108,300","108,300",1566345,14.81,05/28/2025,D,,,,Common Stock,Employee Stock Option (right to buy),,
"79,400","79,400",1566345,19.31,12/15/2026,D,,,,Common Stock,Employee Stock Option (right to buy),,
"49,200","49,200",1566345,19.06,12/17/2025,D,,,,Common Stock,Employee Stock Option (right to buy),,
"32,400","32,400",1566345,14.85,12/18/2024,D,,,,Common Stock,Employee Stock Option (right to buy),,
"2,377","2,377",1701764,44.87,12/18/2027,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"2,845","2,845",1701764,47.45,12/06/2028,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"28,700","28,700",1566345,11.64,12/03/2023,D,,,,Common Stock,Employee Stock Option (right to buy),,
"433,588","433,588",1796310,8.43,11/19/2029,D,,"433,588",,Common Stock,Stock Option (right to buy),A,12/18/2019
"3,563","3,563",1787930,12.62,02/24/2025,D,0.00,"3,563",,Common Stock,,A,12/18/2019
"6,510","6,510",1787930,13.57,11/15/2025,D,0.00,"6,510",,Common Stock,,A,12/18/2019
"7,345","7,345",1787930,12.65,02/24/2026,D,0.00,"7,345",,Common Stock,,A,12/18/2019
"16,694","16,694",1787930,16.51,02/24/2027,D,0.00,"16,694",,Common Stock,,A,12/18/2019
"14,920","14,920",1787930,19.04,02/24/2028,D,0.00,"14,920",,Common Stock,,A,12/18/2019
"19,772","19,772",1787930,19.49,11/15/2028,D,0.00,"19,772",,Common Stock,,A,12/18/2019
"23,006","23,006",1787930,21.76,02/24/2029,D,0.00,"23,006",,Common Stock,,A,12/18/2019
"38,344","38,344",1787930,21.76,02/24/2029,D,0.00,"38,344",,Common Stock,,A,12/18/2019
"10,000","10,000",1612111,,,D,0,,"10,000",Common Stock,Restricted Stock Units,M,12/20/2019
"245,481",0,791908,22,12/18/2019,D,0,,"245,481",,Subscription Rights (right to buy),X,12/18/2019
"190,899",0,791908,22,12/18/2019,D,0,,"190,899",,Subscription Rights (right to buy),X,12/18/2019
