Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
,"2,260",1551139,D,,,Common Stock,,
,"2,260",1551139,D,,,Common Stock,,
"250,037","1,450,557",1551139,I,8.4,A,Common Stock,P,12/20/2019
"2,767,505","12,872,664",1551139,I,8.4,A,Common Stock,P,12/20/2019
"1,160,148","290,409",1551139,I,,D,Common Stock,D,12/20/2019
"9,765,333","3,107,331",1551139,I,,D,Common Stock,D,12/20/2019
"2,981","46,444",1387467,D,13.681,D,Common Share,S,12/20/2019
"5,515","40,929",1387467,D,13.7089,D,Common Share,S,12/20/2019
"1,033","5,031",1280263,D,57.9342,D,Ordinary Shares,S,12/20/2019
"1,963","48,888",1092796,D,9.26,D,Common Stock,F,12/19/2019
400,400,1185528,D,25,A,Series K Cumulative Preferred Stock,P,12/16/2019
"4,000","4,000",1185528,I,25,A,Series K Cumulative Preferred Stock,P,12/16/2019
"3,364","80,530.74",1090872,D,40.8,A,Common Stock,M,12/20/2019
"3,364","77,166.74",1090872,D,85,D,Common Stock,S,12/20/2019
"3,000","3,000",1185528,I,25,A,Series G Cumulative Preferred Stock,P,12/20/2019
"30,000","178,032",1025092,D,84.89,A,Common Stock,M,12/20/2019
"8,000","170,032",1025092,D,117.35,D,Common Stock,S,12/20/2019
"22,000","148,032",1025092,D,117.95,D,Common Stock,S,12/20/2019
"2,000","727,000",1014763,I,0.29,A,Common Stock,P,12/20/2019
,"5,749,019",1014763,D,,,Common Stock,,
,"12,263",1014763,D,,,Common Stock,,
,"39,473",1014763,I,,,Common Stock,,
,"638,801",1014763,I,,,Common Stock,,
,"20,377",1025092,I,,,Common Stock,,
69.5604,"10,900.47",715579,D,35.94,A,ACNB Corporation Common,P,12/13/2019
"6,246","1,020,072",46129,D,47.3,D,Common Stock,S,12/18/2019
"1,057","1,019,015",46129,D,46.7,D,Common Stock,S,12/19/2019
,"16,010",46129,I,,,Common Stock,,
"72,900","41,773",1225954,I,65.9,D,Common Stock,S,12/18/2019
27.8242,"10,519.21",715579,D,35.94,A,ACNB Corporation Common,P,12/13/2019
"2,100","67,172",1225954,I,66.54,D,Common Stock,S,12/18/2019
,"3,407",1225954,D,,,Common Stock,,
"1,299","73,891",1386395,D,145,D,Common Stock,S,12/18/2019
,"32,228",1386395,I,,,Common Stock,,
,"32,228",1386395,I,,,Common Stock,,
,"36,500",1386395,I,,,Common Stock,,
"17,829","182,213",1388658,D,4.12,A,Common Stock,M,12/18/2019
"6,235","188,448",1388658,D,3.65,A,Common Stock,M,12/18/2019
"11,587","200,035",1388658,D,4,A,Common Stock,M,12/18/2019
"12,903","212,938",1388658,D,5.82,A,Common Stock,M,12/18/2019
"3,719","216,657",1388658,D,7.47,A,Common Stock,M,12/18/2019
3,"216,660",1388658,D,17,A,Common Stock,M,12/18/2019
163,"43,217",1596288,D,26.02,D,Common Units,F,12/20/2019
"7,339","374,991",1590560,D,7.53,A,Ordinary Shares,M,12/18/2019
"6,154","368,837",1590560,D,69.94,D,Ordinary Shares,S,12/18/2019
"1,110","367,727",1590560,D,70.55,D,Ordinary Shares,S,12/18/2019
276,"367,451",1590560,D,71.7,D,Ordinary Shares,S,12/18/2019
"65,000","79,500",1391135,D,0.01,D,Common Stock,D,9/23/2019
"7,472","214,708",1585521,I,67.6271,D,Class A Common Stock,S,12/18/2019
"3,595","211,113",1585521,I,66.3929,D,Class A Common Stock,S,12/18/2019
"61,522","39,541,997",1101026,D,0.12,A,Common Stock,P,12/6/2019
"64,000","39,605,997",1101026,D,0.13,A,Common Stock,P,12/9/2019
"205,000","39,810,997",1101026,D,0.13,A,Common Stock,P,12/10/2019
"30,000","39,840,997",1101026,D,0.12,A,Common Stock,P,12/13/2019
"117,500","39,958,497",1101026,D,0.12,A,Common Stock,P,12/16/2019
"65,500","40,023,997",1101026,D,0.11,A,Common Stock,P,12/17/2019
